game_play_number,id,sequenceNumber,type.id,type.text,text,awayScore,homeScore,period.number,period.displayValue,clock.displayValue,scoringPlay,scoreValue,team.id,participants.0.athlete.id,participants.1.athlete.id,participants.2.athlete.id,wallclock,shootingPlay,coordinate.x,coordinate.y,game_id,season,seasonType,homeTeamId,homeTeamName,homeTeamMascot,homeTeamAbbrev,homeTeamNameAlt,awayTeamId,awayTeamName,awayTeamMascot,awayTeamAbbrev,awayTeamNameAlt,gameSpread,homeFavorite,gameSpreadAvailable,homeTeamSpread,qtr,time,clock.minutes,clock.seconds,homeTimeoutCalled,awayTimeoutCalled,half,game_half,lag_qtr,lead_qtr,lag_half,lead_half,start.quarter_seconds_remaining,start.half_seconds_remaining,start.game_seconds_remaining,end.quarter_seconds_remaining,end.half_seconds_remaining,end.game_seconds_remaining,period,team,home_color,away_color
2,4016563637,7,110,Driving Layup Shot,Jrue Holiday makes driving layup (Jayson Tatum assists),0,2,1,1st Quarter,11:40,True,2,2.0,3995.0,4065648.0,,2024-06-18T00:38:52Z,True,25,1,401656363,2024,3,2,Boston,Celtics,BOS,Boston,6,Dallas,Mavericks,DAL,Dallas,2.5,True,False,2.5,1,11:40,11.0,40.0,False,False,1,1,1.0,1.0,1.0,1.0,700.0,1420.0,2860.0,683.0,1403.0,2843.0,1,home,0022B4,99bfe5
3,4016563639,9,132,Step Back Jump Shot,Luka Doncic misses 27-foot step back jumpshot,0,2,1,1st Quarter,11:23,False,0,6.0,3945274.0,,,2024-06-18T00:39:09Z,True,35,26,401656363,2024,3,2,Boston,Celtics,BOS,Boston,6,Dallas,Mavericks,DAL,Dallas,2.5,True,False,2.5,1,11:23,11.0,23.0,False,False,1,1,1.0,1.0,1.0,1.0,683.0,1403.0,2843.0,682.0,1402.0,2842.0,1,away,0022B4,99bfe5
6,40165636313,13,131,Pullup Jump Shot,Jaylen Brown misses 31-foot three point pullup jump shot,0,2,1,1st Quarter,11:05,False,0,2.0,3917376.0,,,2024-06-18T00:39:53Z,True,27,32,401656363,2024,3,2,Boston,Celtics,BOS,Boston,6,Dallas,Mavericks,DAL,Dallas,2.5,True,False,2.5,1,11:05,11.0,5.0,False,False,1,1,1.0,1.0,1.0,1.0,665.0,1385.0,2825.0,663.0,1383.0,2823.0,1,home,0022B4,99bfe5
9,40165636317,17,145,Driving Floating Bank Jump Shot,Jayson Tatum misses two point shot,0,2,1,1st Quarter,10:46,False,0,2.0,4065648.0,,,2024-06-18T00:40:11Z,True,17,4,401656363,2024,3,2,Boston,Celtics,BOS,Boston,6,Dallas,Mavericks,DAL,Dallas,2.5,True,False,2.5,1,10:46,10.0,46.0,False,False,1,1,1.0,1.0,1.0,1.0,646.0,1366.0,2806.0,645.0,1365.0,2805.0,1,home,0022B4,99bfe5
11,40165636320,20,92,Jump Shot,Jaylen Brown misses 24-foot three point jumper,0,2,1,1st Quarter,10:43,False,0,2.0,3917376.0,,,2024-06-18T00:40:29Z,True,4,14,401656363,2024,3,2,Boston,Celtics,BOS,Boston,6,Dallas,Mavericks,DAL,Dallas,2.5,True,False,2.5,1,10:43,10.0,43.0,False,False,1,1,1.0,1.0,1.0,1.0,643.0,1363.0,2803.0,642.0,1362.0,2802.0,1,home,0022B4,99bfe5
14,40165636324,24,131,Pullup Jump Shot,Kyrie Irving misses 27-foot three point pullup jump shot,0,2,1,1st Quarter,10:26,False,0,6.0,6442.0,,,2024-06-18T00:41:02Z,True,31,27,401656363,2024,3,2,Boston,Celtics,BOS,Boston,6,Dallas,Mavericks,DAL,Dallas,2.5,True,False,2.5,1,10:26,10.0,26.0,False,False,1,1,1.0,1.0,1.0,1.0,626.0,1346.0,2786.0,623.0,1343.0,2783.0,1,away,0022B4,99bfe5
16,40165636326,26,137,Turnaround Fade Away Jump Shot,Jaylen Brown misses 9-foot two point shot,0,2,1,1st Quarter,10:10,False,0,2.0,3917376.0,,,2024-06-18T00:41:17Z,True,18,7,401656363,2024,3,2,Boston,Celtics,BOS,Boston,6,Dallas,Mavericks,DAL,Dallas,2.5,True,False,2.5,1,10:10,10.0,10.0,False,False,1,1,1.0,1.0,1.0,1.0,610.0,1330.0,2770.0,609.0,1329.0,2769.0,1,home,0022B4,99bfe5
18,40165636328,28,132,Step Back Jump Shot,Luka Doncic misses 27-foot step back jumpshot,0,2,1,1st Quarter,9:55,False,0,6.0,3945274.0,,,2024-06-18T00:41:32Z,True,11,24,401656363,2024,3,2,Boston,Celtics,BOS,Boston,6,Dallas,Mavericks,DAL,Dallas,2.5,True,False,2.5,1,9:55,9.0,55.0,False,False,1,1,1.0,1.0,1.0,1.0,595.0,1315.0,2755.0,594.0,1314.0,2754.0,1,away,0022B4,99bfe5
20,40165636330,30,128,Driving Finger Roll Layup,Jrue Holiday makes 1-foot two point shot (Jayson Tatum assists),0,4,1,1st Quarter,9:34,True,2,2.0,3995.0,4065648.0,,2024-06-18T00:41:53Z,True,25,2,401656363,2024,3,2,Boston,Celtics,BOS,Boston,6,Dallas,Mavericks,DAL,Dallas,2.5,True,False,2.5,1,9:34,9.0,34.0,False,False,1,1,1.0,1.0,1.0,1.0,574.0,1294.0,2734.0,548.0,1268.0,2708.0,1,home,0022B4,99bfe5
21,40165636332,32,92,Jump Shot,Derrick Jones Jr. misses 26-foot three point jumper,0,4,1,1st Quarter,9:08,False,0,6.0,3936099.0,,,2024-06-18T00:42:19Z,True,43,19,401656363,2024,3,2,Boston,Celtics,BOS,Boston,6,Dallas,Mavericks,DAL,Dallas,2.5,True,False,2.5,1,9:08,9.0,8.0,False,False,1,1,1.0,1.0,1.0,1.0,548.0,1268.0,2708.0,545.0,1265.0,2705.0,1,away,0022B4,99bfe5
